quarter,fav_drink,num_party,party_bin,smoke_cig,smoke_weed,campus_housing,personality,num_followers,salary,exercise,love_first_sight,learning_style,brain_type,myer_briggs,fav_sport,fav_letter,fav_num,hrs_sleep,procrastinator,only_child,birth_month,birth_date,childhood_us,age_years,gender_ident,marry,school_year,height_inches,father_height,mother_height,hand,happy,athlete,ap_stat,r_exp,num_major,hum,socsci,physsci,math,facebook,instagram,twitter,snapchat,tiktok,netflix,hulu,amazon_prime,hbo_max,disney_plus,distance,internet_hrs,fav_season,gpa_hs,gpa_nu,num_clubs,region,political,static_ability,change_ability,genetic,talent
fall 2022,I don't drink,0,0,No,No,South campus,Introvert,10,60000,120,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INTJ,color,Y,16,7,No,No,June,Even,Yes,18,Female,26,First year,60,NA,61,Right,Pretty happy,No,No,No,1,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,7046,6,Winter,4.78,NA,0,Midwest,No affiliation,Agree,Disagree,Disagree,Disagree
fall 2022,Wine,2,1-2,No,No,Neither,Introvert,1100,46000,NA,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,track,M,17,5,Yes,No,May,Even,Yes,20,Female,26,Junior,65,77,68,Right,Pretty happy,No,No,No,2,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3671,NA,Winter,4,3.2,3,Northeast,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Wine,2,1-2,No,No,South campus,Introvert,700,80000,NA,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTP,lacrosse,S,14,7,Yes,No,February,Even,Yes,20,Female,28,Sophomore,NA,NA,NA,Right,Pretty happy,No,Yes,No,1,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,NA,5,Fall,4.92,4.89,1,International,Other,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,5,5-6,No,No,North campus,Introvert,1600,50000,5,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFP,softball,G,22,8,Yes,No,February,Odd,Yes,19,Female,29,Sophomore,64,NA,NA,Right,Don't know,Yes,No,No,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2017,NA,Fall,4,3.5,1,Midwest,No affiliation,Disagree,Agree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,8,7+,No,No,North campus,Extrovert,1800,NA,180200,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,beach,C,NA,7,No,No,November,Even,Yes,19,Female,35,Sophomore,NA,NA,NA,Right,Pretty happy,No,Yes,No,2,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,NA,7,Fall,4.5,NA,2,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,5,5-6,No,No,South campus,Extrovert,900,100000,500,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,football,H,3,7,Yes,No,January,Even,No,19,Male,32,Sophomore,NA,NA,NA,Right,Pretty happy,No,No,No,2,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,NA,4,Summer,NA,3.5,2,International,No affiliation,Disagree,Agree,Disagree,Agree
fall 2022,Beer,2,1-2,No,No,North campus,Introvert,900,100000,20,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",Unknown,tennis,J,6,8,No,No,November,Odd,Yes,19,Female,30,First year,65,64,64,Right,Pretty happy,Yes,Yes,No,1,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,900,3,Fall,4,NA,1,Northeast,Independent,Agree,Disagree,Agree,Agree
fall 2022,I don't drink,0,0,No,No,North campus,Extrovert,4050,35000,NA,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INTJ,basketball,A,33,7,Yes,No,April,Even,Yes,18,Male,25,First year,NA,NA,NA,Left,Very happy,Yes,No,No,2,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1450,3,Winter,4,NA,1,Midwest,No affiliation,Disagree,Agree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,8,7+,Occasionally,Yes,South campus,Introvert,950,50000,400,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",INFJ,ultimate,E,27,8,Yes,No,November,Odd,Yes,19,Female,30,Sophomore,70,72,68,Left,Pretty happy,No,No,No,3,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,7227,4,Summer,4,3.7,3,Midwest,Democrat,Disagree,Disagree,Disagree,Disagree
fall 2022,Beer,2,1-2,No,No,North campus,Introvert,750,27000,150,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ISFJ,baseball,R,11,7,No,No,March,Odd,Yes,18,Male,26,First year,74,74,66,Right,Pretty happy,No,Yes,No,2,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4284,5,Fall,4,NA,0,Northeast,Independent,Agree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,No,Neither,Extrovert,950,50000,600,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,tennis,L,13,7,Yes,No,September,Even,Yes,20,Male,28,Junior,NA,NA,NA,Right,Pretty happy,No,Yes,No,2,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,NA,6,Fall,5.4,3.88,4,Southwest,Democrat,Agree,Disagree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Extrovert,1800,50000,NA,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,basketball,S,16,4,Yes,No,December,Even,Yes,18,Female,24,First year,NA,NA,NA,Right,Not too happy,No,No,No,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,NA,7,Winter,4,NA,4,Midwest,Republican,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,3,3-4,No,Occasionally,North campus,Extrovert,600,69000,480,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,xc,W,69,7,Yes,No,January,Odd,Yes,19,Male,30,Sophomore,72,70,62,Right,Very happy,No,No,No,2,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,4000,2,Spring,4,3.97,2,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,1,1-2,No,No,North campus,Extrovert,300,80000,400,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,waterpolo,X,7,9,No,No,July,Odd,Yes,19,Male,30,First year,NA,NA,NA,Right,Pretty happy,No,No,No,2,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,9000,1,Winter,4,NA,3,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,Occasionally,Occasionally,Neither,Extrovert,1000,65000,180,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFP,basketball,P,8,7,Yes,No,August,Even,Yes,21,Male,31,Senior,75,73,70,Right,Pretty happy,No,No,Yes,1,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,5011,4,Fall,3.64,3.89,2,Northeast,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,2,1-2,No,No,South campus,Extrovert,900,NA,500,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,soccer,R,6,7,No,No,August,Even,Yes,18,Female,27,First year,63,66,63,Right,Pretty happy,No,No,No,1,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,NA,12,Fall,4,NA,0,Northeast,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,3,3-4,No,No,South campus,Extrovert,1000,150000,0,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,hockey,K,7,8,Yes,No,June,Even,Yes,19,Female,30,Sophomore,64,67,64,Right,Very happy,No,No,No,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3945,4,Winter,4,3.8,5,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,Occasionally,North campus,Extrovert,2000,NA,120,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,volleyball,L,16,7,Yes,No,July,Odd,Yes,18,Female,30,First year,71,75,70,Right,Pretty happy,No,No,No,1,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,5385,6,Fall,4.3,NA,0,Midwest,No affiliation,Disagree,Disagree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Extrovert,550,100000,200,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,cross,L,29,7,Yes,No,July,Odd,No,18,Female,27,Sophomore,5.5,NA,NA,Right,Pretty happy,No,No,No,2,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,7364,5,Summer,4.43,NA,1,International,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,8,7+,No,No,South campus,Introvert,900,40000,180,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INTJ,volleyball,P,11,7,No,No,March,Even,Yes,19,Female,30,Sophomore,67,72,67,Right,Pretty happy,No,No,No,2,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3000,4,Fall,4.33,3.7,5,Midwest,Democrat,Disagree,Disagree,Disagree,Disagree
fall 2022,Wine,6,5-6,No,Occasionally,South campus,Extrovert,2700,80000,240,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,soccer,A,17,7,Yes,No,July,Even,No,20,Female,30,Sophomore,67,71,70,Right,Pretty happy,No,No,No,3,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,8000,170,Summer,NA,3.8,3,International,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,1,1-2,No,No,South campus,Introvert,73,50000,200,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,basketball,J,4,7,Yes,No,September,Even,Yes,18,Female,28,First year,63,65,61,Right,Pretty happy,No,No,No,1,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,1900,120,Fall,4.4,NA,1,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,0,0,No,Occasionally,South campus,Introvert,700,65000,60,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,soccer,S,26,7,Yes,No,March,Odd,Yes,20,Female,28,Junior,67,69,63,Right,Pretty happy,No,No,No,2,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,6795,5,Fall,4,3.97,4,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,No,South campus,Introvert,600,40000,NA,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFP,soccer,J,10,8,Yes,No,December,Odd,No,17,Male,30,First year,NA,NA,NA,Right,Pretty happy,No,No,No,2,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,9000,NA,Summer,4,NA,0,International,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,4,3-4,No,No,South campus,Extrovert,1800,50000,120,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ISTP,basketball,F,13,7,No,No,November,Even,Yes,19,Female,28,Sophomore,70,74,69,Right,Pretty happy,No,No,No,2,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,2000,3,Summer,5.69,4,4,Midwest,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Extrovert,15,50000,180,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTP,tennis,T,100,6,Yes,No,April,Even,No,20,Male,29,Sophomore,67,69,65,Right,Pretty happy,No,No,Yes,1,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,2832,2,Fall,4.6,NA,2,Southeast,No affiliation,Agree,Agree,Disagree,Agree
fall 2022,I don't drink,1,1-2,No,No,South campus,Introvert,1000,56000,30,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFP,running,J,7,8,Yes,Yes,August,Odd,No,23,Female,27,Other,NA,NA,NA,Right,Don't know,No,No,No,2,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,NA,5,Fall,4,3.9,0,International,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,Occasionally,Occasionally,North campus,Extrovert,1600,100000,NA,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,swimming,S,53,8,No,No,March,Odd,Yes,18,Female,30,First year,65,71,65,Right,Pretty happy,No,No,No,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,10000,2,Spring,4,NA,2,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,25,7+,Yes,Occasionally,Neither,Introvert,1000,3000000,2100,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ISFJ,baseball,W,48,7,Yes,No,April,Odd,Yes,20,Male,25,Junior,77,72,68,Right,Very happy,Yes,No,No,1,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,1000,2,Spring,3.4,NA,1,Northeast,No affiliation,Agree,Disagree,Agree,Agree
fall 2022,I don't drink,0,0,No,No,Neither,Introvert,800,80000,120,Yes,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",INFJ,ultimate,S,13,8,No,Yes,April,Odd,Yes,21,Female,26,Senior,64,70,63,Right,Pretty happy,No,No,No,2,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,7679,1,Fall,3.98,3.98,2,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,5,5-6,Occasionally,Yes,North campus,Extrovert,700,60000,270,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,volleyball,W,13,7,Yes,No,March,Even,No,19,Female,27,Sophomore,67,69,70,Right,Pretty happy,No,No,No,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,8360,8,Summer,4.09,3.9,3,International,No affiliation,Disagree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,20,7+,No,No,North campus,Introvert,6250,80000,20,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,basketball,C,11,8,No,No,September,Even,Yes,18,Female,28,First year,69,74,65,Right,Pretty happy,Yes,Yes,No,0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,3600,4,Fall,3.7,NA,0,Northeast,Independent,Disagree,Agree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,5,5-6,No,Yes,North campus,Introvert,1800,40000,300,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,baseball,S,49,8,No,No,November,Even,Yes,19,Female,30,Sophomore,67,73,68,Right,Pretty happy,No,No,Yes,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6388,5,Fall,95,4,2,Southwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,9,7+,No,Occasionally,South campus,Extrovert,1000,80000,NA,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFP,volleyball,A,4,7,Yes,No,November,Even,Yes,19,Female,27,Sophomore,NA,71,67,Right,Pretty happy,No,Yes,Yes,2,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4205,9,Fall,4,3.6,3,Midwest,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Extrovert,700,52000,30,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTP,hockey,A,801,7,Yes,No,May,Odd,Yes,19,Female,30,First year,60,71,62,Right,Pretty happy,No,No,No,2,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,6000,7,Spring,4.28,NA,4,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,2,1-2,No,No,South campus,Extrovert,2000,80000,120,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,badminton,A,1,7,Yes,Yes,January,Odd,No,19,Female,28,Sophomore,NA,NA,NA,Right,Don't know,No,Yes,No,2,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,7400,5,Winter,4,3.94,2,International,No affiliation,Agree,Disagree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,6,5-6,Occasionally,Occasionally,Neither,Extrovert,1000,90000,60,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ISTJ,home,X,3,7,Yes,No,January,Odd,No,22,Male,NA,Junior,NA,NA,NA,Right,Pretty happy,No,No,No,2,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,8500,2,Summer,NA,NA,5,International,No affiliation,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,20,7+,No,Occasionally,North campus,Extrovert,300,90000,300,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFP,football,E,58,8,No,No,March,Odd,Yes,19,Male,35,Sophomore,66,71,66,Left,Very happy,No,Yes,No,2,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,1000,4,Fall,3.9,3.78,1,Northeast,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,1,1-2,No,No,Neither,Extrovert,800,47000,200,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,track,L,57,6,Yes,No,February,Even,Yes,20,Male,35,Junior,70,72,60,Right,Pretty happy,No,No,No,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,7600,6,Summer,4,3.7,3,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,Occasionally,North campus,Introvert,550,50000,120,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",Unknown,basketball,J,19,7,Yes,No,December,Odd,Yes,18,Male,28,First year,68,68,63,Right,Pretty happy,No,No,Yes,0,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,7750,4,Fall,NA,NA,0,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,4,3-4,No,No,North campus,Extrovert,1300,70000,1080,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,basketball,G,13,7,Yes,No,October,Odd,Yes,18,Male,30,First year,80,76.5,72,Right,Pretty happy,Yes,No,No,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1717,4,Fall,3.99,NA,1,Midwest,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,NA,7+,No,No,South campus,Introvert,550,NA,60,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFJ,ballet,Y,7,7,No,No,March,Even,Yes,18,Female,31,First year,65,69,63,Right,Very happy,No,No,No,1,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,8234,2,Spring,NA,NA,5,West,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,7,7+,No,Yes,Neither,Extrovert,1000,0,200,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,tennis,W,10,7,Yes,No,September,Odd,Yes,21,Male,35,Senior,67,73,61,Right,Very happy,No,No,No,3,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6824,2,Fall,4,3.7,4,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,2,1-2,No,No,South campus,Introvert,1200,40000,30,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFJ,running,A,7,8,Yes,No,October,Odd,Yes,17,Female,27,First year,NA,NA,NA,Both,Pretty happy,No,Yes,No,2,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,NA,8,Fall,4,NA,2,International,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,No,North campus,Introvert,1600,100000,1200,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,baseball,O,8,7,Yes,No,July,Even,Yes,19,Male,26,First year,72,74,56,Right,Very happy,Yes,No,No,2,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8027,42,Spring,3.7,4,1,Southeast,Republican,Disagree,Agree,Disagree,Agree
