section,section_id,section_sis_id,submitted,attempt,2039596: How many classes have you missed so far this quarter?,1.0,"2039597: If you had a choice, what is your ideal exam day?",1.0,"2039598: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-9.1)?",1.0,2039599: How would you rate the demands of theactivities?,1.0,"2039600: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2039601: How would you rate the usefulness of the lecture slides?,1.0,2039602: What are your thoughts on the course website?,1.0,2039603: How would you rate thedifficultyof Exam 2?,1.0,"2039604: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,2039605: Did you actually study for the exam?,1.0,"2039606: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,2102000: Which method do you usually use to complete the reading checks?,1.0,"2102002: I have had frequent ""loading issues"" with the reading checks.",1.0,2102001: Provide your view on Aha Slides,1.0,"2039607: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-9.1) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:02:38 UTC,1,5 or more,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,The reading checks never work,0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:02:05 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Posit Cloud,1.0,Yes,1.0,No opinion on Aha Slides,0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 04:28:48 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"Aha Slides provide no benefit to lecture,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 04:20:46 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Not as much as I should have,0.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,I would NOT come to class if participation was not counted.,0.0,I think the section notes and lectures in class are helpful as they point out the key ideas.,0.0,3,12,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 04:08:40 UTC,1,3 or 4,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Not as much as I should have,0.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 02:14:36 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam,Other",0.0,Link,0.0,Only once,0.0,I would NOT come to class if participation was not counted.,0.0,"",0.0,3,12,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 01:50:33 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"I think that given the style of instruction and the content of the course, having required participation does not make much sense.",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 23:40:48 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,The material was interesting and cumulative in a way that reinforced my understanding of the first chunk of material while giving me enough basic understanding to grasp more difficult concepts as well. ,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 21:42:22 UTC,1,3 or 4,0.0,Monday,1.0,5 - Very difficult,1.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 20:49:31 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,"No,Only once",0.0,Aha Slides makes lectures more engaging,0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 17:37:51 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 06:29:41 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Link,0.0,Yes,1.0,No opinion on Aha Slides,0.0,I am enjoying the class and finding it all super useful not only for school but also for the future and my career!,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 04:33:42 UTC,1,3 or 4,0.0,Monday,1.0,2 - Somewhat easy,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam,Other",0.0,Link,0.0,Yes,1.0,"Aha Slides provide no benefit to lecture,No opinion on Aha Slides",0.0,The  reading checks often crash and I have had to redo them 3-4 times to complete them entirely. This has happened 2-3 times since the first exam,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 04:31:41 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,I think more incorporation of code and less theoretical concept would be a good experience. ,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 03:33:35 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,"I honestly looked how the class was structured! I have never done reverse classroom and I think the way class is is very conducive to learning. I find that while the reading checks and activities can be tough sometimes, they are very useful and help me understand the material. I also think exams are fair. My only complaints are that I wish we had two practice exams and sometimes the reading check questions can feel overly specific, but overall I love this class!",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 02:08:38 UTC,1,5 or more,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Posit Cloud,1.0,Only once,0.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 01:54:50 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam,Other",0.0,Link,0.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,"I think the material is good. But, I wish more was taught in lectures. ",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-16 00:48:55 UTC,1,1 or 2,0.0,Wednesday,0.0,5 - Very difficult,1.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,5 - Very difficult,1.0,4 - fair,0.0,Not as much as I should have,0.0,"Review Activities,Practice Exam",0.0,Link,0.0,Yes,1.0,"Aha Slides makes lectures more engaging,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 22:38:02 UTC,1,0,1.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,No additional feedback.,0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 22:26:11 UTC,1,3 or 4,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,No,0.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 22:23:19 UTC,1,5 or more,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would NOT come to class if participation was not counted.,Aha Slides makes lectures more engaging",0.0,"Some of the material was absolutely useful. I think the emphasis on regression models wasn't nearly enough. I would've preferred having more time to focus on it. I think the focus on the more conceptual parts felt a bit unhelpful. There is some level of required understanding, but going through the specific differences in the notation for population v sample, or having a reading check question on the steps of collecting data felt unrelated.

It felt inconsistent/confusing with what levels of coding we should have memorized. I'd be curious to ask what proportions of each student's study sheet consisted of. I had maybe 30% of one side just covering the 5 Named Graphs and the additional code and nuances each has. ",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 21:50:02 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,2 - Somewhat easy,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 21:39:12 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 21:27:29 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam,Other",0.0,Posit Cloud,1.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"I definitely think that this material was harder than the last section.  With that being said, I, hopefully, performed well on the exam since I studied a lot in preparation for it.  Professor Sass has been really great this quarter.  Her class is an equal balance with outside work and I genuinely never thought I would find stats interesting but she has made this class really great.  This unit/section in particular was critical for my understanding of an anthropology course that I am currently taking.  I really like this class and hopefully my grade will reflect my enthusiasm :)",0.0,9,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 19:54:14 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Only once,0.0,I would NOT come to class if participation was not counted.,0.0,The material was interesting and I enjoyed learning about conceptual topics since we focused mainly on coding for the first exam. ,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 19:05:44 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,I would come to class even if participation was not counted,1.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 17:08:35 UTC,1,0,1.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"Really love that this course is so beginner friendly, engaging, and interesting at the same time. All the work is manageable while also serving a good purpose (not just busy work). I also love that the textbook is very easy to read and goes along with the course exactly. ",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 16:57:58 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,I have had a great deal of technological issues with RC lately. Sometimes the link will glitch out so I switch to posit and that glitches too. I've been having to send screenshots of my answers as of late because I can't even get to a final submission.,0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 16:18:20 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,I would NOT come to class if participation was not counted.,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:44:01 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Practice Exam,Other",0.0,Posit Cloud,1.0,Yes,1.0,I would come to class even if participation was not counted,1.0,I really appreciate the structure of the class and the textbook does an incredibly good job of explaining concepts.,0.0,8,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:39:02 UTC,1,0,1.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Only once,0.0,No opinion on Aha Slides,0.0,Not much I would suggest,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:36:42 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Only once,0.0,No opinion on Aha Slides,0.0,I really enjoy the course material and I think the format of this course of learning to use the R language at the same time makes some of the boring or redundant statistics topics more interesting to learn about. ,0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:36:05 UTC,1,0,1.0,Friday,0.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,"I would come to class even if participation was not counted,No opinion on Aha Slides",0.0,"",0.0,6,9,1.0
