section,section_id,section_sis_id,submitted,attempt,"2039613: How would you rate the difficulty of the material in ""Part 1"" (Chapters 1-4)?",1.0,2039614: How would you rate the demands of theactivities?,1.0,"2039615: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2039616: How would you rate the usefulness of the lecture slides?,1.0,2039617: What are your thoughts on the course website?,1.0,2090882: Which method do you usually use to complete reading checks?,1.0,2083921: Provide your view on Aha Slides participation (can select multiple),1.0,"2083942: This class utilizes an active learning teaching style (partially flipped).
Provide your opinions on the teaching style.",1.0,2039618: How would you rate thedifficultyof Exam 1?,1.0,"2039619: How would you rate the fairness ofExam 1?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2039620: Please provide any general thoughts or critiques you may have concerning the material (Chapter 1-4) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 16:58:14 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"I really enjoyed the material of Chapters 1-4 as it seems probable that I would use them in the future as well. Data visualization is pretty prominent in the representation of data, so I am really glad we got to go into it right away, despite the challenges in the beginning of the course. I would love to spend more time learning how to develop an analysis of the code we write. I think I am still having some trouble connecting the vocabulary used in class to describe the visualizations we are creating. Having more examples of tricky-to-define examples would be great (e.g. symmetrical/right-skewed).",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 15:23:10 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,I think the material is mostly great. I understand what's expected of me and the slides as well as textbook make the information clear.,0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 09:39:54 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,None - the course is great the way it is!,0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 06:05:21 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,"Aha slides provides no benefit to the lecture,No opinion on Aha slides",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 04:08:51 UTC,1,3 - Neither difficult nor easy,0.0,2 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.,Other",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I like the way the class is, I just wish we had more practice outside of actives to prepare for the exams ",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 22:41:36 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"It's easy to run out of time when submitting aha slides answers, especially on questions where we need to look through multiple blocks of code.",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 22:14:23 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0, N/A,0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 21:47:12 UTC,1,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,2 -,0.0,Don't care either way,0.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 21:26:59 UTC,1,1 - Very easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 20:26:38 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 19:57:11 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,I would come to class even if participation was not counted,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 19:32:13 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,I would come to class even if participation was not counted,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,  ,0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 02:53:34 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Other",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-28 02:08:04 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 15:35:28 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,I think the course is very fair!,0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 06:18:49 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,I would come to class even if participation was not counted,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"Not necessarily content related but I just appreciate how clearly everything in the class is explained in simple-to-understand terms, as opposed to the usual heavy jargon that other professors like to fire around in their intro-level courses that makes things confusing. Also enjoying the content so far, interesting concepts and also very practical

Only critique is that the online textbook is riddled with glaring typos, which are sometimes distracting during the readings",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 05:14:22 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"In general, great instruction. Lectures are easy-to-follow, concise, to the point, and helpful. I really appreciate the quick response times on CampusWire. Right amount of difficulty.",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 04:17:39 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I haven't had experience with statistics or computer science, so at first it was a little difficult to keep up with the content. Now, I have gotten the hang of how the class is structured which makes it easier to frame my learning for the content. The practice is very useful for solidifying understanding of the topics.",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 04:02:23 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 03:30:44 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I honestly don't have any, I thought the midterm was very and like how the class was structured!",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-27 00:06:34 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,I think that the material is good for the first portion of the class. I feel that the materials up to Exam 1 is fairly introductory making the contents of Exam 1 on the same level of difficultness. I would keep this grouping of materials for Exam 1. I would however prefer more practice/sample exams prior to the first Exam as practice over the materials and getting used to the format. ,0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 22:28:08 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Posit Cloud Project,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 21:53:57 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 09:25:54 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,n/a,0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 05:35:04 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I am really enjoying the content and can't wait to apply it on my own. I would love to know and understand how is working with R from the beginning. How can R be applied/implemented in my Research or future job experience? Perhaps it can be a topic for some OH :)

The materials are awesome and RC really help. The book is a wonderful resource and the practice exercises are great. I just think it could provide us the answer, or just for odd exercises. ",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 04:34:38 UTC,1,2 - Somewhat easy,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides provides no benefit to the lecture",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I feel like the pacing of the course is very good. There was no point in the course where I felt overwhelmed. Chapter 4 felt a little bit rushed as there was a lot to read and only 1 class spent on it, but other than that, none of the work has been frustrating to complete or especially confusing.",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 03:45:41 UTC,1,2 - Somewhat easy,0.0,2 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Posit Cloud Project,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-26 02:14:02 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,No opinion on Aha slides,0.0,Doesn't matter to me.,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,I am enjoying the class. I think the material is communicated very efficiently and effectively. I enjoy this because I feel like what I learn in this class I can use in the future and actually applicable to my career. You are doing a great job! Keep it up!,0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 22:29:10 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,Doesn't matter to me.,0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I would have appreciated a bit more explanation on interpreting what graphs/data sets mean. When presented with a large data set of numbers, I often got lost and did not realize why I needed them. ",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 20:35:32 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,Aha slides provides no benefit to the lecture,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,2,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 20:10:33 UTC,1,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,"I would come to class even if participation was not counted,Aha slides provides no benefit to the lecture",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"post slides when we do our learning at home, so we can guide ourselves ",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 20:10:06 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"I think the material was taught very well and taught valuable skills in R. I really love Professor Sass' teaching style and assessment style, and I wish all my professors were like her.",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 20:07:14 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,I would come to class even if participation was not counted,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I love the website -- it's super organized and I always know what's due. It can be a little confusing to constantly jump between canvas, the website, posit cloud, and campus wire, but I like all of these platforms on their own so I'm not sure if the solution is to consolidate. I think the partially flipped classroom is perfect as is -- I love getting the presentation in class followed by time to work on the activity and ask questions.",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 19:33:47 UTC,1,2 - Somewhat easy,0.0,2 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,I wish that there was a collection of challenge exercises for students to continue working on throughout the quarter if they wish to test their skills instead of just activities.,0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 19:21:42 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 19:18:16 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-25 19:17:27 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,5,6,1.0
